## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.industry_rank,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.employee_range,entity.custom8,entity.custom9,entity.custom10,
intelligent-spend-solutions-danfoss,casestudy_intelligent-spend-solutions-danfoss,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/1280px-danfoss.svg_1.png, ,https://www.concur.co.uk/casestudy/intelligent-spend-solutions-danfoss,,, ,0,Manufacturing,28000,"Nordborg, Denmark",UK,"10,000 - 49,999", , , , 
horiba-uk-gains-efficiency-and-time-sap-concur-more-modern-date-solution,casestudy_horiba-uk-gains-efficiency-and-time-sap-concur-more-modern-date-solution,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/horiba-logo-hi-res-1.jpg, ,https://www.concur.co.uk/casestudy/horiba-uk-gains-efficiency-and-time-sap-concur-more-modern-date-solution,,, ,1,Manufacturing,185,Northampton,UK,100 - 499, , , , 
alfa-laval,casestudy_alfa-laval,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/alfa_laval_logo_highres.png, ,https://www.concur.co.uk/casestudy/alfa-laval,,, ,0,Manufacturing,300,UK,UK,100 - 499, , , , 
concur-partner-excluserv-and-thames-reach,casestudy_concur-partner-excluserv-and-thames-reach,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/trh_logo_0.gif, ,https://www.concur.co.uk/casestudy/concur-partner-excluserv-and-thames-reach,,, ,1,Non-Profit,400,"London, UK",UK,100 - 499, , , , 
devon-air-ambulance,casestudy_devon-air-ambulance,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/devon_air_ambulance_uplifts_invoice_process_with_concur_-_case_study_final.jpg, ,https://www.concur.co.uk/casestudy/devon-air-ambulance,,, ,1,Non-Profit,130,"Devon, UK",UK,100 - 499, , , , 
royal-voluntary-service-0,casestudy_royal-voluntary-service-0,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/rvs_cs.jpg, ,https://www.concur.co.uk/casestudy/royal-voluntary-service-0,,, ,1,Non-Profit,600,"Stoke-on-Trent, UK",UK,500 - 749, , , , 
royal-mencap-society-mencap,casestudy_royal-mencap-society-mencap,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/mencap-logo-768x404.png, ,https://www.concur.co.uk/casestudy/royal-mencap-society-mencap,,, ,0,Non-Profit,7500,"London, UK",UK,"6,000 - 9,999", , , , 
customer-case-study-common-purpose-charitable-trust,casestudy_customer-case-study-common-purpose-charitable-trust,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/business_logo.png, ,https://www.concur.co.uk/casestudy/customer-case-study-common-purpose-charitable-trust,,, ,0,Non-Profit,125,London,UK,100 - 499, , , , 
recordati-rare-diseases,casestudy_recordati-rare-diseases,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/recordati.png, ,https://www.concur.co.uk/casestudy/recordati-rare-diseases,,, ,1,Pharmaceutical,50,New Jersey,UK,50 - 99, , , , 
merck,casestudy_merck,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/merck_logo_logotype_1.jpeg, ,https://www.concur.co.uk/casestudy/merck,,, ,1,Pharmaceutical,65000,"Rahway, NJ",UK,"> 50,000", , , , 
biomerieux,casestudy_biomerieux,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/oip_0.jpg, ,https://www.concur.co.uk/casestudy/biomerieux,,, ,1,Pharmaceutical,121000,France,UK,"> 50,000", , , , 
grunenthal,casestudy_grunenthal,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/grunenthal_logo.png, ,https://www.concur.co.uk/casestudy/grunenthal,,, ,0,Pharmaceutical,4900,"Aachen, Germany",UK,"3,000 - 5,999", , , , 
day-lewis-0,casestudy_day-lewis-0,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/daylewis_master-logos_aug17-2-dl-pharmacy-stacked.jpg, ,https://www.concur.co.uk/casestudy/day-lewis-0,,, ,0,Pharmaceutical,2500,"London, UK",UK,"2,000 - 2,999", , , , 
red,casestudy_red,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/capture_2.png, ,https://www.concur.co.uk/casestudy/red,,, ,1,Professional Services,200,"London, UK",UK,100 - 499, , , , 
blick-rothenberg,casestudy_blick-rothenberg,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/blick_rothenberg_0.jpg, ,https://www.concur.co.uk/casestudy/blick-rothenberg,,, ,1,Professional Services,49,"London, UK",UK,< 50, , , , 
acquis-consulting-group,casestudy_acquis-consulting-group,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/acquis_1_1.jpeg, ,https://www.concur.co.uk/casestudy/acquis-consulting-group,,, ,0,Professional Services,125,"New York, NY",UK,100 - 499, , , , 
pwc,casestudy_pwc,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/pwc-logo.jpg, ,https://www.concur.co.uk/casestudy/pwc,,, ,1,Professional Services,284000,Germany,UK,"> 50,000", , , , 
kbi-global,casestudy_kbi-global,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/kbi_global_logo_0.png, ,https://www.concur.co.uk/casestudy/kbi-global,,, ,0,Professional Services,64,Ireland,UK,50 - 99, , , , 
airswift,casestudy_airswift,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/airswift_logo.jpg, ,https://www.concur.co.uk/casestudy/airswift,,, ,0,Professional Services,200,Manchester,UK,100 - 499, , , , 
rightmove,casestudy_rightmove,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/rightmove.png, ,https://www.concur.co.uk/casestudy/rightmove,,, ,0,Real Estate,500,Milton Keynes,UK,500 - 749, , , , 
hammerson-plc,casestudy_hammerson-plc,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/hammerson.jpg, ,https://www.concur.co.uk/casestudy/hammerson-plc,,, ,0,Retail,600,London,UK,500 - 749, , , , 
longchamp,casestudy_longchamp,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/03eae04c-963e-47c8-ae1d-bc02ff2fb7b3_1.png, ,https://www.concur.co.uk/casestudy/longchamp,,, ,0,Retail,2500,France,UK,"2,000 - 2,999", , , , 
dermalogica,casestudy_dermalogica,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/dermalogica.png, ,https://www.concur.co.uk/casestudy/dermalogica,,, ,0,Retail,400,"Leatherhead, Surrey, UK",UK,100 - 499, , , , 
ibm,casestudy_ibm,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/ibm_png19658_1.png, ,https://www.concur.co.uk/casestudy/ibm,,, ,1,Technology,400000,New York,UK,"> 50,000", , , , 
atech-support,casestudy_atech-support,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/atechsupport_270x10072.jpg, ,https://www.concur.co.uk/casestudy/atech-support,,, ,1,Technology,24,London,UK,< 50, , , , 
concur-partner-uniglobe-and-qlik,casestudy_concur-partner-uniglobe-and-qlik,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/qlik-logo-2x.png, ,https://www.concur.co.uk/casestudy/concur-partner-uniglobe-and-qlik,,, ,1,Technology,2400,"Berkshire, UK",UK,"2,000 - 2,999", , , , 
unisys-corporation,casestudy_unisys-corporation,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/unisys_sytr_cmykred_1.png, ,https://www.concur.co.uk/casestudy/unisys-corporation,,, ,0,Technology,20001,"Blue Bell, PA",UK,"10,000 - 49,999", , , , 
brother-uk,casestudy_brother-uk,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/brother_logo.jpeg, ,https://www.concur.co.uk/casestudy/brother-uk,,, ,0,Technology,1700,Greater Manchester,UK,"1,000 - 1,999", , , , 
infineon,casestudy_infineon,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/infineon-logo.jpg, ,https://www.concur.co.uk/casestudy/infineon,,, ,0,Technology,45000,"Neubiberg, Germany",UK,"10,000 - 49,999", , , , 
milestone-systems,casestudy_milestone-systems,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/milestone_systems_logo.png, ,https://www.concur.co.uk/casestudy/milestone-systems,,, ,0,Technology,1000,"Brøndby, Copenhagen, Denmark",UK,"1,000 - 1,999", , , , 
cloudera,casestudy_cloudera,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/cloudera_snip.jpg, ,https://www.concur.co.uk/casestudy/cloudera,,, ,0,Technology,1300,Not Found,UK,"1,000 - 1,999", , , , 
siemens,casestudy_siemens,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/siemens_logo.jpg, ,https://www.concur.co.uk/casestudy/siemens,,, ,0,Technology,290000,"Berlin, Germany",UK,"> 50,000", , , , 
cisco-systems,casestudy_cisco-systems,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/new-cisco-logo-png-1.png, ,https://www.concur.co.uk/casestudy/cisco-systems,,, ,0,Technology,50001,"San Jose, CA",UK,"> 50,000", , , , 
ion-advocacy-its-best,casestudy_ion-advocacy-its-best,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/ion_0.png, ,https://www.concur.co.uk/casestudy/ion-advocacy-its-best,,, ,0,Technology,1001,"Dublin, Ireland",UK,"1,000 - 1,999", , , , 
inmarsat,casestudy_inmarsat,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/inmarsat.png, ,https://www.concur.co.uk/casestudy/inmarsat,,, ,0,Technology,1500,"London, UK",UK,"1,000 - 1,999", , , , 
blue-chip,casestudy_blue-chip,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/logo_bluechip_4.jpg, ,https://www.concur.co.uk/casestudy/blue-chip,,, ,0,Technology,160,UK,UK,100 - 499, , , , 
ericsson,casestudy_ericsson,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/2000px-ericsson_logo.svg_.png, ,https://www.concur.co.uk/casestudy/ericsson,,, ,0,Telecommunications,75000,Sweden,UK,"> 50,000", , , , 
big-bus-tours,casestudy_big-bus-tours,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/bigbus.svg_.png, ,https://www.concur.co.uk/casestudy/big-bus-tours,,, ,0,Travel,500,London,UK,500 - 749, , , ,
